time,depth,TEMP,TEMP_QC,CNDC,CNDC_QC,PSAL,PSAL_QC
2024-01-01 00:00:00,20.0000,20.0000,1,5.0000,1,20.0000,1
2024-01-01 00:30:00,20.0000,20.0029,1,5.0004,1,20.0029,1
2024-01-01 01:00:00,20.0000,20.0057,1,5.0007,1,20.0057,1
2024-01-01 01:30:00,20.0000,20.0086,1,5.0011,1,20.0086,1
2024-01-01 02:00:00,20.0000,20.0114,1,5.0014,1,20.0114,1
2024-01-01 02:30:00,20.0000,20.0143,1,5.0018,1,20.0143,1
2024-01-01 03:00:00,20.0000,20.0172,1,5.0021,1,20.0172,1
2024-01-01 03:30:00,20.0000,20.0200,1,5.0025,1,20.0200,1
2024-01-01 04:00:00,20.0000,20.0229,1,5.0029,1,20.0229,1
2024-01-01 04:30:00,20.0000,20.0257,1,5.0032,1,20.0257,1
2024-01-01 05:00:00,20.0000,20.0286,1,5.0036,1,20.0286,1
2024-01-01 05:30:00,20.0000,20.0315,1,5.0039,1,20.0315,1
2024-01-01 06:00:00,20.0000,20.0343,1,5.0043,1,20.0343,1
2024-01-01 06:30:00,20.0000,20.0372,1,5.0046,1,20.0372,1
2024-01-01 07:00:00,20.0000,20.0401,1,5.0050,1,20.0401,1
2024-01-01 07:30:00,20.0000,20.0429,1,5.0054,1,20.0429,1
2024-01-01 08:00:00,20.0000,20.0458,1,5.0057,1,20.0458,1
2024-01-01 08:30:00,20.0000,20.0486,1,5.0061,1,20.0486,1
2024-01-01 09:00:00,20.0000,20.0515,1,5.0064,1,20.0515,1
2024-01-01 09:30:00,20.0000,20.0544,1,5.0068,1,20.0544,1
2024-01-01 10:00:00,20.0000,20.0572,1,5.0072,1,20.0572,1
2024-01-01 10:30:00,20.0000,20.0601,1,5.0075,1,20.0601,1
2024-01-01 11:00:00,20.0000,20.0629,1,5.0079,1,20.0629,1
2024-01-01 11:30:00,20.0000,20.0658,1,5.0082,1,20.0658,1
2024-01-01 12:00:00,20.0000,20.0687,1,5.0086,1,20.0687,1
2024-01-01 12:30:00,20.0000,20.0715,1,5.0089,1,20.0715,1
2024-01-01 13:00:00,20.0000,20.0744,1,5.0093,1,20.0744,1
2024-01-01 13:30:00,20.0000,20.0772,1,5.0097,1,20.0772,1
2024-01-01 14:00:00,20.0000,20.0801,1,5.0100,1,20.0801,1
2024-01-01 14:30:00,20.0000,20.0830,1,5.0104,1,20.0830,1
2024-01-01 15:00:00,20.0000,20.0858,1,5.0107,1,20.0858,1
2024-01-01 15:30:00,20.0000,20.0887,1,5.0111,1,20.0887,1
2024-01-01 16:00:00,20.0000,20.0916,1,5.0114,1,20.0916,1
2024-01-01 16:30:00,20.0000,20.0944,1,5.0118,1,20.0944,1
2024-01-01 17:00:00,20.0000,20.0973,1,5.0122,1,20.0973,1
2024-01-01 17:30:00,20.0000,20.1001,1,5.0125,1,20.1001,1
2024-01-01 18:00:00,20.0000,20.1030,1,5.0129,1,20.1030,1
2024-01-01 18:30:00,20.0000,20.1059,1,5.0132,1,20.1059,1
2024-01-01 19:00:00,20.0000,20.1087,1,5.0136,1,20.1087,1
2024-01-01 19:30:00,20.0000,20.1116,1,5.0139,1,20.1116,1
2024-01-01 20:00:00,20.0000,20.1144,1,5.0143,1,20.1144,1
2024-01-01 20:30:00,20.0000,20.1173,1,5.0147,1,20.1173,1
2024-01-01 21:00:00,20.0000,20.1202,1,5.0150,1,20.1202,1
2024-01-01 21:30:00,20.0000,20.1230,1,5.0154,1,20.1230,1
2024-01-01 22:00:00,20.0000,20.1259,1,5.0157,1,20.1259,1
2024-01-01 22:30:00,20.0000,20.1287,1,5.0161,1,20.1287,1
2024-01-01 23:00:00,20.0000,20.1316,1,5.0165,1,20.1316,1
2024-01-01 23:30:00,20.0000,20.1345,1,5.0168,1,20.1345,1
2024-01-02 00:00:00,20.0000,20.1373,1,5.0172,1,20.1373,1
2024-01-02 00:30:00,20.0000,20.1402,1,5.0175,1,20.1402,1
2024-01-02 01:00:00,20.0000,20.1430,1,5.0179,1,20.1430,1
2024-01-02 01:30:00,20.0000,20.1459,1,5.0182,1,20.1459,1
2024-01-02 02:00:00,20.0000,20.1488,1,5.0186,1,20.1488,1
2024-01-02 02:30:00,20.0000,20.1516,1,5.0190,1,20.1516,1
2024-01-02 03:00:00,20.0000,20.1545,1,5.0193,1,20.1545,1
2024-01-02 03:30:00,20.0000,20.1573,1,5.0197,1,20.1573,1
2024-01-02 04:00:00,20.0000,20.1602,1,5.0200,1,20.1602,1
2024-01-02 04:30:00,20.0000,20.1631,1,5.0204,1,20.1631,1
2024-01-02 05:00:00,20.0000,20.1659,1,5.0207,1,20.1659,1
2024-01-02 05:30:00,20.0000,20.1688,1,5.0211,1,20.1688,1
2024-01-02 06:00:00,20.0000,20.1716,1,5.0215,1,20.1716,1
2024-01-02 06:30:00,20.0000,20.1745,1,5.0218,1,20.1745,1
2024-01-02 07:00:00,20.0000,20.1774,1,5.0222,1,20.1774,1
2024-01-02 07:30:00,20.0000,20.1802,1,5.0225,1,20.1802,1
2024-01-02 08:00:00,20.0000,20.1831,1,5.0229,1,20.1831,1
2024-01-02 08:30:00,20.0000,20.1860,1,5.0232,1,20.1860,1
2024-01-02 09:00:00,20.0000,20.1888,1,5.0236,1,20.1888,1
2024-01-02 09:30:00,20.0000,20.1917,1,5.0240,1,20.1917,1
2024-01-02 10:00:00,20.0000,20.1945,1,5.0243,1,20.1945,1
2024-01-02 10:30:00,20.0000,20.1974,1,5.0247,1,20.1974,1
2024-01-02 11:00:00,20.0000,20.2003,1,5.0250,1,20.2003,1
2024-01-02 11:30:00,20.0000,20.2031,1,5.0254,1,20.2031,1
2024-01-02 12:00:00,20.0000,20.2060,1,5.0257,1,20.2060,1
2024-01-02 12:30:00,20.0000,20.2088,1,5.0261,1,20.2088,1
2024-01-02 13:00:00,20.0000,20.2117,1,5.0265,1,20.2117,1
2024-01-02 13:30:00,20.0000,20.2146,1,5.0268,1,20.2146,1
