time,depth,CSPD,CDIR,CSPD_QC,CDIR_QC
2024-01-01 00:00:00+00:00,10.0000,1.7634,285.8013,1,1
2024-01-01 00:30:00+00:00,10.0000,1.7642,285.8534,1,1
2024-01-01 01:00:00+00:00,10.0000,1.7651,285.9055,1,1
2024-01-01 01:30:00+00:00,10.0000,1.7660,285.9575,1,1
2024-01-01 02:00:00+00:00,10.0000,1.7668,286.0096,1,1
2024-01-01 02:30:00+00:00,10.0000,1.7677,286.0616,1,1
2024-01-01 03:00:00+00:00,10.0000,1.7686,286.1136,1,1
2024-01-01 03:30:00+00:00,10.0000,1.7694,286.1656,1,1
2024-01-01 04:00:00+00:00,10.0000,1.7703,286.2176,1,1
2024-01-01 04:30:00+00:00,10.0000,1.7712,286.2695,1,1
2024-01-01 05:00:00+00:00,10.0000,1.7720,286.3215,1,1
2024-01-01 05:30:00+00:00,10.0000,1.7729,286.3734,1,1
2024-01-01 06:00:00+00:00,10.0000,1.7738,286.4254,1,1
2024-01-01 06:30:00+00:00,10.0000,1.7746,286.4773,1,1
2024-01-01 07:00:00+00:00,10.0000,1.7755,286.5292,1,1
2024-01-01 07:30:00+00:00,10.0000,1.7764,286.5810,1,1
2024-01-01 08:00:00+00:00,10.0000,1.7772,286.6329,1,1
2024-01-01 08:30:00+00:00,10.0000,1.7781,286.6848,1,1
2024-01-01 09:00:00+00:00,10.0000,1.7789,286.7366,1,1
2024-01-01 09:30:00+00:00,10.0000,1.7798,286.7885,1,1
2024-01-01 10:00:00+00:00,10.0000,1.7807,286.8403,1,1
2024-01-01 10:30:00+00:00,10.0000,1.7815,286.8921,1,1
2024-01-01 11:00:00+00:00,10.0000,1.7824,286.9439,1,1
2024-01-01 11:30:00+00:00,10.0000,1.7833,286.9956,1,1
2024-01-01 12:00:00+00:00,10.0000,1.7841,287.0474,1,1
2024-01-01 12:30:00+00:00,10.0000,1.7850,287.0991,1,1
2024-01-01 13:00:00+00:00,10.0000,1.7858,287.1509,1,1
2024-01-01 13:30:00+00:00,10.0000,1.7867,287.2026,1,1
2024-01-01 14:00:00+00:00,10.0000,1.7876,287.2543,1,1
2024-01-01 14:30:00+00:00,10.0000,1.7884,287.3060,1,1
2024-01-01 15:00:00+00:00,10.0000,1.7893,287.3577,1,1
2024-01-01 15:30:00+00:00,10.0000,1.7902,287.4094,1,1
2024-01-01 16:00:00+00:00,10.0000,1.7910,287.4610,1,1
2024-01-01 16:30:00+00:00,10.0000,1.7919,287.5126,1,1
2024-01-01 17:00:00+00:00,10.0000,1.7927,287.5643,1,1
2024-01-01 17:30:00+00:00,10.0000,1.7936,287.6159,1,1
2024-01-01 18:00:00+00:00,10.0000,1.7945,287.6675,1,1
2024-01-01 18:30:00+00:00,10.0000,1.7953,287.7191,1,1
