time,depth,latitude,longitude,CSPD,CDIR,CSPD_QC,CDIR_QC
2024-01-01 00:00:00+00:00,10.0000,41.3063,1.8241,1.7634,285.8013,1,1
2024-01-01 00:30:00+00:00,10.0000,41.3062,1.8243,1.7668,286.0107,1,1
2024-01-01 01:00:00+00:00,10.0000,41.3061,1.8246,1.7703,286.2199,1,1
2024-01-01 01:30:00+00:00,10.0000,41.3060,1.8248,1.7738,286.4288,1,1
2024-01-01 02:00:00+00:00,10.0000,41.3058,1.8250,1.7773,286.6375,1,1
2024-01-01 02:30:00+00:00,10.0000,41.3057,1.8252,1.7808,286.8460,1,1
2024-01-01 03:00:00+00:00,10.0000,41.3055,1.8255,1.7842,287.0542,1,1
2024-01-01 03:30:00+00:00,10.0000,41.3053,1.8257,1.7877,287.2623,1,1
2024-01-01 04:00:00+00:00,10.0000,41.3050,1.8259,1.7912,287.4701,1,1
2024-01-01 04:30:00+00:00,10.0000,41.3048,1.8262,1.7946,287.6777,1,1
2024-01-01 05:00:00+00:00,10.0000,41.3045,1.8264,1.7981,287.8851,1,1
2024-01-01 05:30:00+00:00,10.0000,41.3042,1.8266,1.8015,288.0922,1,1
2024-01-01 06:00:00+00:00,10.0000,41.3039,1.8269,1.8050,288.2991,1,1
2024-01-01 06:30:00+00:00,10.0000,41.3036,1.8271,1.8084,288.5058,1,1
2024-01-01 07:00:00+00:00,10.0000,41.3033,1.8273,1.8119,288.7123,1,1
2024-01-01 07:30:00+00:00,10.0000,41.3029,1.8275,1.8153,288.9186,1,1
2024-01-01 08:00:00+00:00,10.0000,41.3025,1.8278,1.8187,289.1246,1,1
2024-01-01 08:30:00+00:00,10.0000,41.3021,1.8280,1.8222,289.3304,1,1
2024-01-01 09:00:00+00:00,10.0000,41.3017,1.8282,1.8256,289.5360,1,1
2024-01-01 09:30:00+00:00,10.0000,41.3012,1.8285,1.8290,289.7413,1,1
2024-01-01 10:00:00+00:00,10.0000,41.3008,1.8287,1.8324,289.9464,1,1
2024-01-01 10:30:00+00:00,10.0000,41.3003,1.8289,1.8359,290.1513,1,1
2024-01-01 11:00:00+00:00,10.0000,41.2998,1.8291,1.8393,290.3560,1,1
2024-01-01 11:30:00+00:00,10.0000,41.2993,1.8294,1.8427,290.5604,1,1
2024-01-01 12:00:00+00:00,10.0000,41.2987,1.8296,1.8461,290.7646,1,1
2024-01-01 12:30:00+00:00,10.0000,41.2981,1.8298,1.8495,290.9686,1,1
2024-01-01 13:00:00+00:00,10.0000,41.2976,1.8301,1.8529,291.1724,1,1
2024-01-01 13:30:00+00:00,10.0000,41.2970,1.8303,1.8563,291.3759,1,1
2024-01-01 14:00:00+00:00,10.0000,41.2963,1.8305,1.8597,291.5792,1,1
2024-01-01 14:30:00+00:00,10.0000,41.2957,1.8307,1.8630,291.7822,1,1
2024-01-01 15:00:00+00:00,10.0000,41.2950,1.8310,1.8664,291.9851,1,1
2024-01-01 15:30:00+00:00,10.0000,41.2943,1.8312,1.8698,292.1877,1,1
2024-01-01 16:00:00+00:00,10.0000,41.2936,1.8314,1.8732,292.3900,1,1
2024-01-01 16:30:00+00:00,10.0000,41.2929,1.8317,1.8765,292.5922,1,1
2024-01-01 17:00:00+00:00,10.0000,41.2922,1.8319,1.8799,292.7941,1,1
2024-01-01 17:30:00+00:00,10.0000,41.2914,1.8321,1.8833,292.9957,1,1
2024-01-01 18:00:00+00:00,10.0000,41.2907,1.8323,1.8866,293.1972,1,1
2024-01-01 18:30:00+00:00,10.0000,41.2899,1.8326,1.8900,293.3984,1,1
2024-01-01 19:00:00+00:00,10.0000,41.2891,1.8328,1.8933,293.5993,1,1
2024-01-01 19:30:00+00:00,10.0000,41.2882,1.8330,1.8967,293.8001,1,1
2024-01-01 20:00:00+00:00,10.0000,41.2874,1.8333,1.9000,294.0005,1,1
2024-01-01 20:30:00+00:00,10.0000,41.2865,1.8335,1.9033,294.2008,1,1
2024-01-01 21:00:00+00:00,10.0000,41.2857,1.8337,1.9067,294.4008,1,1
