time,TEMP,TEMP_QC,CNDC,CNDC_QC,PSAL,PSAL_QC
2024-01-01 00:00:00,15.0000,1,5.0000,1,20.0000,1
2024-01-01 00:30:00,15.0018,1,5.0004,1,20.2603,1
2024-01-01 01:00:00,15.0036,1,5.0007,1,20.5162,1
2024-01-01 01:30:00,15.0054,1,5.0011,1,20.7633,1
2024-01-01 02:00:00,15.0072,1,5.0014,1,20.9975,1
2024-01-01 02:30:00,15.0089,1,5.0018,1,21.2146,1
2024-01-01 03:00:00,15.0107,1,5.0021,1,21.4111,1
2024-01-01 03:30:00,15.0125,1,5.0025,1,21.5836,1
2024-01-01 04:00:00,15.0143,1,5.0029,1,21.7291,1
2024-01-01 04:30:00,15.0161,1,5.0032,1,21.8452,1
2024-01-01 05:00:00,15.0179,1,5.0036,1,21.9299,1
2024-01-01 05:30:00,15.0197,1,5.0039,1,21.9818,1
2024-01-01 06:00:00,15.0215,1,5.0043,1,22.0000,1
2024-01-01 06:30:00,15.0232,1,5.0046,1,21.9841,1
2024-01-01 07:00:00,15.0250,1,5.0050,1,21.9345,1
2024-01-01 07:30:00,15.0268,1,5.0054,1,21.8519,1
2024-01-01 08:00:00,15.0286,1,5.0057,1,21.7379,1
2024-01-01 08:30:00,15.0304,1,5.0061,1,21.5942,1
2024-01-01 09:00:00,15.0322,1,5.0064,1,21.4235,1
2024-01-01 09:30:00,15.0340,1,5.0068,1,21.2285,1
2024-01-01 10:00:00,15.0358,1,5.0072,1,21.0126,1
2024-01-01 10:30:00,15.0376,1,5.0075,1,20.7795,1
2024-01-01 11:00:00,15.0393,1,5.0079,1,20.5331,1
2024-01-01 11:30:00,15.0411,1,5.0082,1,20.2777,1
2024-01-01 12:00:00,15.0429,1,5.0086,1,20.0175,1
2024-01-01 12:30:00,15.0447,1,5.0089,1,19.7571,1
2024-01-01 13:00:00,15.0465,1,5.0093,1,19.5007,1
2024-01-01 13:30:00,15.0483,1,5.0097,1,19.2529,1
2024-01-01 14:00:00,15.0501,1,5.0100,1,19.0178,1
2024-01-01 14:30:00,15.0519,1,5.0104,1,18.7993,1
2024-01-01 15:00:00,15.0536,1,5.0107,1,18.6014,1
2024-01-01 15:30:00,15.0554,1,5.0111,1,18.4272,1
2024-01-01 16:00:00,15.0572,1,5.0114,1,18.2797,1
2024-01-01 16:30:00,15.0590,1,5.0118,1,18.1616,1
2024-01-01 17:00:00,15.0608,1,5.0122,1,18.0747,1
2024-01-01 17:30:00,15.0626,1,5.0125,1,18.0206,1
2024-01-01 18:00:00,15.0644,1,5.0129,1,18.0002,1
2024-01-01 18:30:00,15.0662,1,5.0132,1,18.0138,1
2024-01-01 19:00:00,15.0679,1,5.0136,1,18.0612,1
2024-01-01 19:30:00,15.0697,1,5.0139,1,18.1415,1
