time,AIRT,WSPD,WDIR,AIRT_QC,WSPD_QC,WDIR_QC
2024-01-01 00:00:00+00:00,30.0000,10.0000,180.0000,1.0000,1.0000,1.0000
2024-01-01 00:47:00+00:00,30.0056,10.0006,180.5043,1.0000,1.0000,1.0000
2024-01-01 01:34:00+00:00,30.0112,10.0011,181.0085,1.0000,1.0000,1.0000
2024-01-01 02:21:00+00:00,30.0168,10.0017,181.5128,1.0000,1.0000,1.0000
2024-01-01 03:08:00+00:00,30.0224,10.0022,182.0170,1.0000,1.0000,1.0000
2024-01-01 03:55:00+00:00,30.0280,10.0028,182.5213,1.0000,1.0000,1.0000
2024-01-01 04:42:00+00:00,30.0336,10.0034,183.0255,1.0000,1.0000,1.0000
2024-01-01 05:29:00+00:00,30.0392,10.0039,183.5297,1.0000,1.0000,1.0000
2024-01-01 06:16:00+00:00,30.0448,10.0045,184.0338,1.0000,1.0000,1.0000
2024-01-01 07:03:00+00:00,30.0504,10.0050,184.5379,1.0000,1.0000,1.0000
2024-01-01 07:50:00+00:00,30.0560,10.0056,185.0420,1.0000,1.0000,1.0000
2024-01-01 08:37:00+00:00,30.0616,10.0062,185.5461,1.0000,1.0000,1.0000
2024-01-01 09:24:00+00:00,30.0672,10.0067,186.0501,1.0000,1.0000,1.0000
2024-01-01 10:11:00+00:00,30.0728,10.0073,186.5540,1.0000,1.0000,1.0000
2024-01-01 10:58:00+00:00,30.0784,10.0078,187.0579,1.0000,1.0000,1.0000
2024-01-01 11:45:00+00:00,30.0840,10.0084,187.5618,1.0000,1.0000,1.0000
2024-01-01 12:32:00+00:00,30.0896,10.0090,188.0656,1.0000,1.0000,1.0000
2024-01-01 13:19:00+00:00,30.0952,10.0095,188.5693,1.0000,1.0000,1.0000
2024-01-01 14:06:00+00:00,30.1009,10.0101,189.0730,1.0000,1.0000,1.0000
2024-01-01 14:53:00+00:00,30.1065,10.0106,189.5766,1.0000,1.0000,1.0000
2024-01-01 15:40:00+00:00,30.1121,10.0112,190.0801,1.0000,1.0000,1.0000
2024-01-01 16:27:00+00:00,30.1177,10.0118,190.5835,1.0000,1.0000,1.0000
2024-01-01 17:14:00+00:00,30.1233,10.0123,191.0869,1.0000,1.0000,1.0000
2024-01-01 18:01:00+00:00,30.1289,10.0129,191.5902,1.0000,1.0000,1.0000
2024-01-01 18:48:00+00:00,30.1345,10.0134,192.0933,1.0000,1.0000,1.0000
2024-01-01 19:35:00+00:00,30.1401,10.0140,192.5964,1.0000,1.0000,1.0000
2024-01-01 20:22:00+00:00,30.1457,10.0146,193.0994,1.0000,1.0000,1.0000
2024-01-01 21:09:00+00:00,30.1513,10.0151,193.6023,1.0000,1.0000,1.0000
2024-01-01 21:56:00+00:00,30.1569,10.0157,194.1050,1.0000,1.0000,1.0000
2024-01-01 22:43:00+00:00,30.1625,10.0162,194.6077,1.0000,1.0000,1.0000
2024-01-01 23:30:00+00:00,30.1681,10.0168,195.1103,1.0000,1.0000,1.0000
2024-01-02 00:17:00+00:00,30.1737,10.0174,195.6127,1.0000,1.0000,1.0000
2024-01-02 01:04:00+00:00,30.1793,10.0179,196.1150,1.0000,1.0000,1.0000
2024-01-02 01:51:00+00:00,30.1849,10.0185,196.6172,1.0000,1.0000,1.0000
